0;0
1;6
2;0
3;0
4;0
5;0
6;0
7;0
8;51
9;213
10;0
11;0
12;0
13;0
14;0
15;0
16;246
17;0
18;0
19;0
20;0
21;334
22;0
23;367
24;209
25;83
26;0
27;0
28;0
29;0
30;36
31;211
32;21
33;8
34;276
35;0
36;0
37;48
38;282
39;468
40;181
41;0
42;0
43;0
44;0
45;65
46;110
47;0
48;77
49;306
50;336
51;210
52;217
53;483
54;463
55;258
56;0
57;0
58;0
59;0
60;31
61;193
62;241
63;124
64;364
65;370
66;390
67;396
68;571
69;420
70;275
71;0
72;0
73;156
74;0
75;0
76;74
77;405
78;294
79;547
80;480
81;453
82;781
83;713
84;676
85;313
86;0
87;3
88;273
89;1059
90;30
91;225
92;168
93;367
94;396
95;437
96;828
97;1030
98;987
99;680
100;488
101;89
102;99
103;151
104;126
105;121
106;192
107;333
108;264
109;536
110;184
111;1352
112;1357
113;970
114;854
115;689
116;403
117;288
118;211
119;255
120;0
121;387
122;156
123;249
124;91
125;676
126;1372
127;1159
128;2108
129;1457
130;748
131;220
132;234
133;400
134;0
135;0
136;4
137;149
138;578
139;389
140;715
141;883
142;1503
143;1523
144;1758
145;516
146;457
147;320
148;270
149;0
150;0
151;0
152;0
153;184
154;375
155;908
156;1453
157;1989
158;2448
159;1719
160;481
161;346
162;290
163;294
164;0
165;0
166;0
167;0
168;0
169;93
170;218
171;665
172;1449
173;1263
174;597
175;450
176;537
177;265
178;180
179;0
180;0
181;0
182;0
183;0
184;0
185;0
186;415
187;1188
188;1424
189;806
190;536
191;286
192;265
193;74
194;0
195;0
196;0
197;0
198;0
199;0
200;0
201;31
202;632
203;988
204;605
205;329
206;232
207;217
208;456
209;0
210;0
211;0
212;0
213;0
214;0
215;0
216;0
217;609
218;1358
219;1088
220;15
221;387
222;266
223;23
224;2
